kommune;tilsagn;belop
Alstahaug;2;55854000
Alta;1;36772000
Alvdal;1;15528000
Alver;3;17899000
Andøy;1;86506000
Arendal;17;342143000
Asker;3;52669000
Askøy;2;43400000
Aukra;1;6380000
Aurskog-Høland;2;26464000
Austevoll;2;16666000
Austrheim;1;6647000
Averøy;1;7545000
Bamble;2;56097000
Bardu;1;25185000
Beiarn;1;23876000
Bergen;15;907528000
Birkenes;2;16382000
Bjerkreim;1;98984000
Bjørnafjorden;3;12717000
Bodø;10;60369000
Bremanger;1;6545000
Brønnøy;1;53700000
Bygland;1;691000
Bærum;6;139399000
Bømlo;2;15100000
Dovre;1;7312000
Drammen;4;338390000
Drangedal;2;38462000
Dyrøy;1;36023000
Eidskog;3;10081000
Eidsvoll;1;83108000
Eigersund;1;46690000
Elverum;2;23021000
Enebakk;2;4902000
Etne;1;8746000
Evenes;1;1770000
Fjord;4;5853000
Flakstad;1;461000
Flekkefjord;3;35179000
Flå;1;5370000
Folldal;1;47671000
Fredrikstad;4;38304000
Froland;2;7651000
Frøya;1;10074000
Fyresdal;2;462000
Færder;1;31780000
Gausdal;2;27775000
Gjemnes;1;100980000
Gjerdrum;1;19220000
Gjesdal;3;201648000
Gjøvik;2;67352000
Gol;2;33401000
Gran;2;281553000
Gratangen;1;5108000
Grimstad;3;88233000
Grong;2;2343000
Gulen;1;3685000
Hadsel;2;15753000
Halden;1;48773000
Hamar;7;120339000
Hamarøy;2;67160000
Hammerfest;2;1118000
Harstad;6;219117000
Haugesund;2;53158000
Hemnes;1;3371000
Herøy i møre og Romsdal;1;17729000
Hitra;3;38354000
Holmestrand;1;1922000
Holtålen;1;57928000
Horten;4;69136000
Hurdal;1;3060000
Hustadvika;2;17308000
Hå;3;18091000
Hægebostad;1;24693000
Høylandet;1;301000
Inderøy;1;92842000
Indre Fosen;1;8208000
Indre Østfold;4;32322000
Jevnaker;1;6325000
Karasjok;1;118656000
Karlsøy;3;17202000
Karmøy;10;113552000
Kinn;1;247208000
Klepp;2;3181000
Kongsberg;8;44282000
Kongsvinger;4;27754000
Kragerø;4;4539000
Kristiansand;12;288187000
Kristiansund;7;82875000
Kvinnherad;2;13283000
Kvitsøy;1;556000
Kåfjord;1;364000
Larvik;3;29267000
Leirfjord;1;18259000
Leka;2;425000
Levanger;1;2138000
Lier;2;2475000
Lierne;2;1935000
Lillehammer;3;140613000
Lillesand;1;9570000
Lillestrøm;4;51106000
Lindesnes;4;285298000
Lom;2;78361000
Lund;1;6525000
Lyngdal;2;6775000
Lyngen;2;65614000
Lærdal;2;8386000
Lødingen;1;302000
Lørenskog;1;33158000
Løten;3;78168000
Malvik;5;8393000
Masfjorden;2;6973000
Melhus;2;49236000
Midtre Gauldal;1;14320000
Modum;1;17224000
Molde;2;75634000
Moss;1;125231000
Målselv;1;22806000
Namsos;3;41492000
Namsskogan;1;5037000
Nannestad;3;61706000
Nes-Ak;1;51000000
Nesodden;1;101219000
Nissedal;3;22441000
Nittedal;1;14864000
Nome;1;1045000
Nord-Aurdal;1;6716000
Nord-Fron;1;1629000
Nord-Odal;1;1710000
Nordkapp;1;12384000
Nordre Follo;1;8496000
Nordreisa;2;47394000
Notodden;1;16200000
Nærøysund;1;17374000
Orkland;2;49527000
Os;2;10935000
Oslo;10;492907000
Osterøy;2;9545000
Porsgrunn;2;158244000
Rana;2;424160000
Randaberg;1;10074000
Rennebu;2;6964000
Rindal;2;44772000
Ringebu;1;9660000
Ringerike;1;5261000
Ringsaker;1;118254000
Risør;1;9528000
Rollag;1;54924000
Råde;1;13432000
Rælingen;3;21116000
Rødøy;1;9290000
Røros;1;6754000
Røyrvik;1;197000
Saltdal;1;40296000
Samnanger;1;1679000
Sande i møre og Romsdal;3;26115000
Sandefjord;8;187938000
Sandnes;11;324825000
Sarpsborg;1;1265000
Selbu;1;32599000
Seljord;1;239000
Senja;1;3998000
Sigdal;1;2222000
Skaun;1;3080000
Skien;6;307675000
Skiptvet;1;42876000
Skjervøy;1;9088000
Smøla;1;58830000
Sogndal;1;4730000
Sokndal;4;29159000
Sola;2;21233000
Sortland;2;74673000
Stange;2;55355000
Stavanger;9;261844000
Steinkjer;2;14868000
Stjørdal;7;18770000
Stor-Elvdal;2;51197000
Stord;2;15473000
Storfjord;1;3553000
Strand;3;4205000
Stryn;1;27835000
Sula;1;29494000
Suldal;2;105739000
Sunnfjord;1;1279000
Surnadal;1;25185000
Sykkylven;3;13102000
Sør-Odal;1;25170000
Sørfold;1;1790000
Time;10;122113000
Tinn;1;12704000
Tjeldsund;1;4400000
Tokke;10;50349000
Tromsø;4;90042000
Trondheim;12;687258000
Tvedestrand;1;284000
Tydal;1;66717000
Tynset;1;52179000
Tysvær;4;272084000
Tønsberg;1;12072000
Ullensaker;1;9400000
Ullensvang;2;83308000
Ulstein;2;36332000
Vang;1;2323000
Vardø;1;5100000
Vefsn;3;47338000
Vennesla;6;18977000
Verdal;2;162012000
Vestnes;1;329000
Vestre Toten;1;152912000
Vestvågøy;3;49987000
Vik;1;60253000
Vindafjord;3;20838000
Vinje;2;23253000
Voss;4;20408000
Vågan;2;44239000
Vågå;2;58899000
Våler i Innlandet;1;1711000
Værøy;1;1055000
Ål;1;14320000
Ålesund;8;105902000
Åmli;1;5480000
Ås;1;19681000
Øksnes;1;17536000
Ørsta;2;13689000
Østre Toten;1;63426000
Øvre Eiker;1;15880000
Øygarden;4;50063000
